 format: day,hour,value location:60_127 Start : 20230101 
 20, 0016, -8.400000 
 20, 0017, -8.800000 
 20, 0018, -9.100000 
 20, 0019, -9.500000 
 20, 0020, -10.100000 
 20, 0021, -10.300000 
 20, 0022, -10.200000 
 20, 0023, -8.700000 
 21, 0000, -6.100000 
 21, 0001, -3.500000 
 21, 0002, -2.000000 
 21, 0003, -0.100000 
 21, 0004, 0.300000 
 21, 0005, 1.100000 
 21, 0006, 0.700000 
 21, 0007, 0.000000 
 21, 0008, -1.100000 
 21, 0009, -1.700000 
 21, 0010, -2.400000 
 21, 0011, -2.700000 
 21, 0012, -2.600000 
 21, 0013, -2.700000 
 21, 0014, -2.600000 
 21, 0015, -2.700000 
 21, 0016, -2.500000 
 21, 0017, -2.400000 
 21, 0018, -2.200000 
 21, 0019, -2.400000 
 21, 0020, -2.500000 
 21, 0021, -2.400000 
 21, 0022, -2.100000 
 21, 0023, -1.700000 
 22, 0000, -1.600000 
 22, 0001, -1.400000 
 22, 0002, -0.200000 
 22, 0003, 0.700000 
 22, 0004, 1.300000 
 22, 0005, 2.300000 
 22, 0006, 2.500000 
 22, 0007, 2.000000 
 22, 0008, 1.400000 
 22, 0009, 1.200000 
 22, 0010, 0.800000 
 22, 0011, 0.300000 
 22, 0012, -0.200000 
 22, 0013, -0.700000 
 22, 0014, -1.200000 
 22, 0015, -0.400000 
 22, 0016, -0.500000 
 22, 0017, -0.600000 
 22, 0018, -1.100000 
 22, 0019, -1.200000 
 22, 0020, -0.400000 
 22, 0021, -1.200000 
 22, 0022, -1.500000 
 22, 0023, -0.800000 
 23, 0000, 1.800000 
 23, 0001, 3.700000 
 23, 0002, 4.000000 
 23, 0003, 4.200000 
 23, 0004, 3.900000 
 23, 0005, 3.200000 
 23, 0006, 2.500000 
 23, 0007, 1.000000 
 23, 0008, -0.400000 
 23, 0009, -1.500000 
 23, 0010, -2.500000 
 23, 0011, -3.800000 
 23, 0012, -5.100000 
 23, 0013, -5.900000 
 23, 0014, -7.200000 
 23, 0015, -8.800000 
 23, 0016, -10.400000 
 23, 0017, -11.600000 
 23, 0018, -12.600000 
 23, 0019, -13.800000 
 23, 0020, -14.700000 
 23, 0021, -15.800000 
 23, 0022, -16.500000 
 23, 0023, -16.299999 
 24, 0000, -16.000000 
 24, 0001, -15.000000 
 24, 0002, -14.200000 
 24, 0003, -13.900000 
 24, 0004, -12.700000 
 24, 0005, -12.700000 
 24, 0006, -12.500000 
 24, 0007, -13.600000 
 24, 0008, -14.600000 
 24, 0009, -15.200000 
 24, 0010, -15.800000 
 24, 0011, -16.200001 
 24, 0012, -16.600000 
 24, 0013, -16.799999 
 24, 0014, -16.900000 
 24, 0015, -17.000000 
 24, 0016, -16.900000 
 24, 0017, -16.799999 
 24, 0018, -16.799999 
 24, 0019, -16.799999 
 24, 0020, -18.700001 
 24, 0021, -18.799999 
 24, 0022, -18.000000 
 24, 0023, -15.600000 
 25, 0000, -13.900000 
 25, 0001, -10.600000 
 25, 0002, -9.100000 
 25, 0003, -7.700000 
 25, 0004, -6.700000 
 25, 0005, -6.300000 
 25, 0006, -5.400000 
 25, 0007, -6.500000 
 25, 0008, -7.600000 
 25, 0009, -8.200000 
 25, 0010, -8.100000 
 25, 0011, -8.000000 
 25, 0012, -7.900000 
 25, 0013, -8.700000 
 25, 0014, -8.600000 
 25, 0015, -8.200000 
 25, 0016, -8.400000 
 25, 0017, -8.500000 
 25, 0018, -8.700000 
 25, 0019, -8.900000 
 25, 0020, -8.900000 
 25, 0021, -8.700000 
 25, 0022, -8.500000 
 25, 0023, -7.700000 
 26, 0000, -6.900000 
 26, 0001, -5.500000 
 26, 0002, -5.100000 
 26, 0003, -4.400000 
 26, 0004, -3.900000 
 26, 0005, -3.700000 
 26, 0006, -3.400000 
 26, 0007, -3.500000 
 26, 0008, -3.700000 
 26, 0009, -5.300000 
 26, 0010, -5.300000 
 26, 0011, -5.900000 
 26, 0012, -6.200000 
 26, 0013, -4.900000 
 26, 0014, -5.600000 
 26, 0015, -6.100000 
 26, 0016, -6.700000 
 26, 0017, -6.600000 
 26, 0018, -7.200000 
 26, 0019, -7.700000 
 26, 0020, -8.200000 
 26, 0021, -8.300000 
 26, 0022, -8.500000 
 26, 0023, -8.100000 
 27, 0000, -7.200000 
 27, 0001, -7.000000 
 27, 0002, -6.100000 
 27, 0003, -4.700000 
 27, 0004, -4.600000 
 27, 0005, -4.300000 
 27, 0006, -4.300000 
 27, 0007, -5.700000 
 27, 0008, -6.700000 
 27, 0009, -7.500000 
 27, 0010, -8.000000 
 27, 0011, -8.500000 
 27, 0012, -8.900000 
 27, 0013, -9.200000 
 27, 0014, -9.500000 
 27, 0015, -9.600000 
 27, 0016, -9.400000 
 27, 0017, -9.600000 
 27, 0018, -9.900000 
 27, 0019, -10.400000 
 27, 0020, -10.800000 
 27, 0021, -10.900000 
 27, 0022, -11.000000 
 27, 0023, -9.400000 
 28, 0000, -6.300000 
 28, 0001, -4.800000 
 28, 0002, -3.700000 
 28, 0003, -2.000000 
 28, 0004, -0.800000 
 28, 0005, -0.900000 
 28, 0006, -0.600000 
 28, 0007, -1.500000 
 28, 0008, -2.300000 
 28, 0009, -2.800000 
 28, 0010, -3.300000 
 28, 0011, -3.900000 
 28, 0012, -4.800000 
 28, 0013, -5.500000 
 28, 0014, -6.100000 
 28, 0015, -7.000000 
 28, 0016, -7.200000 
 28, 0017, -7.000000 
 28, 0018, -7.100000 
 28, 0019, -7.500000 
 28, 0020, -7.800000 
 28, 0021, -7.700000 
 28, 0022, -7.400000 
 28, 0023, -5.700000 
 29, 0000, -3.500000 
 29, 0001, -1.100000 
 29, 0002, 0.800000 
 29, 0003, 2.800000 
 29, 0004, 4.500000 
 29, 0005, 4.400000 
 29, 0006, 4.100000 
 29, 0007, 3.600000 
 29, 0008, 2.700000 
 29, 0009, 2.300000 
 29, 0010, 1.500000 
 29, 0011, 0.500000 
 29, 0012, -0.400000 
 29, 0013, -1.200000 
 29, 0014, -1.700000 
 29, 0015, -2.200000 
 29, 0016, -2.900000 
 29, 0017, -3.300000 
 29, 0018, -4.000000 
 29, 0019, -4.200000 
 29, 0020, -4.200000 
 29, 0021, -3.900000 
 29, 0022, -4.300000 
 29, 0023, -3.000000 
 30, 0000, -1.000000 
 30, 0001, 0.300000 
 30, 0002, 1.700000 
 30, 0003, 2.100000 
 30, 0004, 3.600000 
 30, 0005, 4.100000 
 30, 0006, 3.700000 
 30, 0007, 2.600000 
 30, 0008, 1.200000 
 30, 0009, 0.400000 
 30, 0010, -0.100000 
 30, 0011, -0.500000 
 30, 0012, -1.100000 
 30, 0013, -1.300000 
 30, 0014, -1.900000 
 30, 0015, -2.400000 
 30, 0016, -2.900000 
 30, 0017, -3.000000 
 30, 0018, -3.400000 
 30, 0019, -3.300000 
 30, 0020, -3.300000 
 30, 0021, -3.100000 
 30, 0022, -3.200000 
 30, 0023, -1.400000 
 31, 0000, 0.700000 
 31, 0001, 1.800000 
 31, 0002, 2.800000 
 31, 0003, 4.000000 
 31, 0004, 5.200000 
 31, 0005, 7.400000 
 31, 0006, 7.600000 
 31, 0007, 7.200000 
 31, 0008, 7.100000 
 31, 0009, 6.800000 
 31, 0010, 6.500000 
 31, 0011, 6.300000 
 31, 0012, 6.100000 
 31, 0013, 6.000000 
 31, 0014, 5.900000 
 31, 0015, 5.000000 
 31, 0016, 3.900000 
 31, 0017, 2.900000 
 31, 0018, 2.000000 
 31, 0019, 1.400000 
 31, 0020, 0.600000 
 31, 0021, 0.000000 
 31, 0022, -0.400000 
 31, 0023, 0.000000 
 32, 0000, 0.900000 
 32, 0001, 2.400000 
 32, 0002, 3.500000 
 32, 0003, 4.100000 
 32, 0004, 4.400000 
 32, 0005, 3.700000 
 32, 0006, 2.700000 
 32, 0007, 1.300000 
 32, 0008, 0.300000 
 32, 0009, -0.500000 
 32, 0010, -1.200000 
 32, 0011, -1.400000 
 32, 0012, -1.800000 
 32, 0013, -2.400000 
 32, 0014, -3.000000 
 32, 0015, -3.200000 
 32, 0016, -3.100000 
 32, 0017, -3.700000 
 32, 0018, -4.100000 
 32, 0019, -4.300000 
 32, 0020, -4.200000 
 32, 0021, -4.900000 
 32, 0022, -4.700000 
 32, 0023, -4.100000 
 33, 0000, -2.800000 
 33, 0001, -1.800000 
 33, 0002, -0.500000 
 33, 0003, 0.100000 
 33, 0004, 0.500000 
 33, 0005, 0.900000 
 33, 0006, 1.200000 
 33, 0007, 0.100000 
 33, 0008, -0.900000 
 33, 0009, -1.400000 
 33, 0010, -1.900000 
 33, 0011, -2.300000 
 33, 0012, -2.900000 
 33, 0013, -3.200000 
 33, 0014, -3.400000 
 33, 0015, -3.700000 
 33, 0016, -3.600000 
 33, 0017, -3.700000 
 33, 0018, -3.800000 
 33, 0019, -3.500000 
 33, 0020, -3.300000 
 33, 0021, -3.500000 
 33, 0022, -3.500000 
 33, 0023, -3.000000 
 34, 0000, -1.600000 
 34, 0001, -0.500000 
 34, 0002, 1.000000 
 34, 0003, 1.200000 
 34, 0004, 2.500000 
 34, 0005, 2.900000 
 34, 0006, 2.900000 
 34, 0007, 1.700000 
 34, 0008, 0.000000 
 34, 0009, -1.000000 
 34, 0010, -1.800000 
 34, 0011, -2.100000 
 34, 0012, -2.600000 
 34, 0013, -3.000000 
 34, 0014, -3.000000 
 34, 0015, -3.000000 
 34, 0016, -3.400000 
 34, 0017, -3.800000 
 34, 0018, -4.300000 
 34, 0019, -4.800000 
 34, 0020, -4.900000 
 34, 0021, -4.300000 
 34, 0022, -3.900000 
 34, 0023, -2.700000 
 35, 0000, -0.900000 
 35, 0001, 2.000000 
 35, 0002, 2.800000 
 35, 0003, 4.000000 
 35, 0004, 5.100000 
 35, 0005, 5.600000 
 35, 0006, 5.300000 
 35, 0007, 4.100000 
 35, 0008, 2.600000 
 35, 0009, 1.700000 
 35, 0010, 0.900000 
 35, 0011, 0.000000 
 35, 0012, -0.200000 
 35, 0013, -0.700000 
 35, 0014, -1.100000 
 35, 0015, -1.400000 
 35, 0016, -1.600000 
 35, 0017, -1.900000 
 35, 0018, -2.200000 
 35, 0019, -2.800000 
 35, 0020, -3.000000 
 35, 0021, -3.100000 
 35, 0022, -2.900000 
 35, 0023, -1.600000 
 36, 0000, 0.400000 
